datetime,BTC,ETH,LTC
2021-07-30 03:00:00,39981.86,2423.13,142.77
2021-07-30 04:00:00,39824.58,2415.75,142.4
2021-07-30 05:00:00,39743.0,2404.12,141.5
2021-07-30 06:00:00,39858.48,2413.5,141.98
2021-07-30 07:00:00,39737.37,2404.29,141.54
2021-07-30 08:00:00,38747.72,2351.85,137.4
2021-07-30 09:00:00,38828.88,2349.49,137.48
2021-07-30 10:00:00,38882.65,2357.69,137.49
2021-07-30 11:00:00,38669.58,2336.21,136.29
2021-07-30 12:00:00,38728.21,2333.64,136.49
2021-07-30 13:00:00,38859.12,2340.95,136.49
2021-07-30 14:00:00,39043.22,2342.51,137.33
2021-07-30 15:00:00,39097.1,2348.62,137.65
2021-07-30 16:00:00,38931.44,2335.7,137.74
2021-07-30 17:00:00,39046.6,2353.8,139.6
2021-07-30 18:00:00,39109.02,2348.73,139.91
2021-07-30 19:00:00,39895.01,2381.22,140.95
2021-07-30 20:00:00,40684.6,2420.45,142.45
2021-07-30 21:00:00,41204.24,2442.95,143.56
2021-07-30 22:00:00,41376.68,2439.61,144.3
2021-07-30 23:00:00,42237.95,2463.9,145.62
2021-07-31 00:00:00,41920.74,2458.28,146.17
2021-07-31 01:00:00,41999.79,2462.42,145.92
2021-07-31 02:00:00,41978.97,2467.61,145.82
2021-07-31 03:00:00,41840.33,2465.11,144.96
2021-07-31 04:00:00,41841.39,2457.48,144.88
2021-07-31 05:00:00,41699.99,2438.53,143.05
2021-07-31 06:00:00,41540.91,2437.13,143.45
2021-07-31 07:00:00,41553.97,2443.24,143.43
2021-07-31 08:00:00,41716.01,2463.56,144.35
2021-07-31 09:00:00,41660.67,2459.37,143.78
2021-07-31 10:00:00,41812.88,2472.71,144.22
2021-07-31 11:00:00,41606.36,2459.78,143.6
2021-07-31 12:00:00,41666.99,2464.03,143.94
2021-07-31 13:00:00,41402.44,2446.89,143.0
2021-07-31 14:00:00,41419.85,2445.64,142.99
2021-07-31 15:00:00,41569.62,2459.54,143.8
2021-07-31 16:00:00,41311.67,2448.91,142.63
2021-07-31 17:00:00,41194.74,2440.0,142.37
2021-07-31 18:00:00,41405.78,2458.34,143.51
2021-07-31 19:00:00,41334.92,2458.56,143.12
2021-07-31 20:00:00,41541.88,2491.77,143.85
2021-07-31 21:00:00,41995.56,2538.99,145.79
2021-07-31 22:00:00,41893.04,2538.51,145.73
2021-07-31 23:00:00,41495.01,2533.74,144.43
2021-08-01 00:00:00,41764.05,2572.48,147.99
2021-08-01 01:00:00,41740.68,2568.37,147.01
2021-08-01 02:00:00,41836.97,2581.84,147.97
2021-08-01 03:00:00,42468.51,2618.11,149.74
2021-08-01 04:00:00,42074.65,2621.51,148.74
2021-08-01 05:00:00,41850.56,2608.22,148.9
2021-08-01 06:00:00,41742.59,2601.96,148.92
2021-08-01 07:00:00,41718.85,2587.08,148.07
2021-08-01 08:00:00,41777.28,2594.87,148.47
2021-08-01 09:00:00,41940.4,2611.82,148.98
2021-08-01 10:00:00,41518.77,2584.36,146.76
2021-08-01 11:00:00,41610.32,2589.24,147.27
2021-08-01 12:00:00,41572.26,2590.77,146.82
2021-08-01 13:00:00,41433.92,2579.54,145.41
2021-08-01 14:00:00,41345.41,2581.51,145.57
2021-08-01 15:00:00,41300.32,2583.47,145.99
2021-08-01 16:00:00,41272.11,2569.56,145.96
2021-08-01 17:00:00,41089.73,2570.9,144.44
2021-08-01 18:00:00,41081.8,2599.6,144.96
2021-08-01 19:00:00,41269.01,2656.67,145.73
2021-08-01 20:00:00,41270.26,2671.91,146.33
2021-08-01 21:00:00,41087.63,2654.76,146.0
2021-08-01 22:00:00,40282.59,2601.94,142.81
2021-08-01 23:00:00,39865.41,2555.43,140.28
2021-08-02 00:00:00,39521.29,2519.15,139.29
2021-08-02 01:00:00,39624.95,2538.82,139.7
2021-08-02 02:00:00,39793.09,2568.05,140.98
2021-08-02 03:00:00,39797.25,2560.69,141.26
2021-08-02 04:00:00,39671.67,2549.76,141.16
2021-08-02 05:00:00,39733.46,2558.3,142.12
2021-08-02 06:00:00,40280.89,2618.59,145.33
2021-08-02 07:00:00,40126.42,2618.31,144.9
2021-08-02 08:00:00,39524.97,2572.84,143.79
2021-08-02 09:00:00,39630.25,2602.03,144.59
2021-08-02 10:00:00,39714.51,2599.36,144.57
2021-08-02 11:00:00,39553.22,2591.13,144.29
2021-08-02 12:00:00,39268.15,2587.96,143.24
2021-08-02 13:00:00,39585.21,2616.64,144.21
2021-08-02 14:00:00,39627.2,2626.74,144.12
2021-08-02 15:00:00,39706.88,2634.27,143.74
2021-08-02 16:00:00,39818.92,2648.55,143.82
2021-08-02 17:00:00,39701.94,2643.59,143.09
2021-08-02 18:00:00,39655.7,2650.93,142.72
2021-08-02 19:00:00,39170.03,2601.76,141.32
2021-08-02 20:00:00,38856.06,2598.26,139.9
2021-08-02 21:00:00,39209.01,2613.07,140.5
2021-08-02 22:00:00,39422.86,2625.83,142.21
2021-08-02 23:00:00,39149.59,2608.12,141.36
2021-08-03 00:00:00,39336.22,2609.12,142.08
2021-08-03 01:00:00,38828.02,2547.73,139.25
2021-08-03 02:00:00,38908.52,2555.62,139.67
2021-08-03 03:00:00,38651.37,2533.0,139.06
2021-08-03 04:00:00,38326.46,2494.67,137.86
2021-08-03 05:00:00,38242.23,2472.56,138.48
2021-08-03 06:00:00,38369.08,2463.3,138.16
2021-08-03 07:00:00,38601.15,2493.59,138.81
2021-08-03 08:00:00,38533.24,2484.59,137.56
2021-08-03 09:00:00,38639.84,2499.7,138.41
2021-08-03 10:00:00,38739.48,2512.32,138.62
2021-08-03 11:00:00,38481.22,2488.55,137.69
2021-08-03 12:00:00,38399.98,2501.33,138.94
2021-08-03 13:00:00,38454.87,2514.13,139.02
